function_name,entry_point_exists,size_bytes,line_count,frontend_invoker_callsites,internal_callers,shared_imports
prayer-times,true,4917,154,0,0,3
presence-heartbeat,true,6916,213,11,0,5
process-onboarding-media,true,9749,246,1,0,3
process-referral-reward,true,7550,196,0,1,4
process-refund,true,7051,191,3,0,3
public-api,true,8457,224,0,0,2
public-health,true,6466,166,0,0,3
purchase-locs,true,4989,129,0,0,3
qr-payment-session,true,9472,239,0,0,3
receive-email,true,13967,314,0,0,5
redis-enqueue,true,3288,106,0,0,5
redis-proxy,true,5399,157,7,0,4
refund-admin,true,18261,511,4,0,4
refund-process-booking,true,3656,99,1,0,3
refund-request-booking,true,3385,94,1,0,3
rent-create-payment,true,3505,100,0,0,3
rent-lifecycle-cron,true,13779,368,0,0,2
rent-payment,true,10576,269,4,0,3
rent-reminders,true,16736,314,0,0,2
rent-router,true,1607,51,0,0,2
repair-worker,true,11560,278,0,0,2
reveal-contact,true,6377,189,1,0,3
rss-proxy,true,7180,232,0,0,2
run-engine-cron,true,75280,1560,0,0,3
run-ingestion-pipeline,true,13895,318,1,1,2
run-scheduled-audit,true,9602,239,1,0,2
runtime-control-plane,true,12442,327,1,0,3
s3-upload-proxy,true,4287,135,7,0,4
scrape-proxy,true,4460,110,1,0,2
search-global,true,17340,630,2,0,5
search-meilisearch,true,4083,115,0,0,5
search-router,true,1345,41,0,0,2
seller-kpi-snapshot,true,3446,81,0,0,2
send-call-push,true,5414,152,0,0,4
send-email,true,10801,283,17,4,4
send-notification-email,true,49111,616,3,3,5
send-otp,true,9169,278,4,0,2
send-push,true,2286,58,0,0,2
send-push-notification,true,8354,244,3,1,4
send-sms,true,4950,143,0,1,4
sentinel-server,true,8007,202,0,1,4
sentinel-server-guards,true,20987,732,0,0,3
ses-webhook,true,11038,326,0,0,1
_shared,false,0,0,0,0,0
shop-import-processor,true,7663,193,0,1,3
social-preview,true,38215,912,0,0,3
spatial-query,true,6039,165,3,0,2
sqs-enqueue-proxy,true,2578,74,0,0,4
storefront-description,true,8945,227,1,0,3
stripe-connect-login,true,4287,107,1,0,3
stripe-router,true,2956,91,0,0,2
stripe-webhook,true,69002,1763,0,0,2
submit-review,true,7529,212,1,0,5
subscription-portal,true,3156,76,1,0,4
sync-ical,true,7550,225,3,0,3
sync-meilisearch,true,6555,205,0,0,4
sync-meilisearch-cron,true,13616,426,1,0,5
system-router,true,16190,449,4,0,8
tenant-signup,true,4947,135,2,0,4
translate-message,true,8458,189,4,1,3
trigger-github,true,5916,176,0,0,1
tts-engine,true,3362,96,0,0,5
uae-data-cleanup,true,6224,157,0,0,2
uae-scrape-onboard,true,23833,602,1,0,3
vector-embed,true,5433,153,0,0,3
vector-similarity-search,true,1971,44,1,0,2
verify-guest-payment,true,3739,95,1,0,3
verify-otp,true,7668,209,1,0,3
video-processor,true,7916,253,0,0,5
voice-processing,true,4065,108,0,0,5
voice-router,true,2114,61,0,0,3
voice-stt-token,true,2979,94,0,0,1
voice-tts,true,3401,107,0,0,1
wallet-ops,true,14087,314,1,1,4
wallet-pin,true,26180,649,3,1,5
wallet-router,true,9024,288,0,0,5
wallet-transfer,true,24845,615,2,0,5
watchdog-ping,true,11499,322,0,0,3
webauthn-authentication-challenge,true,2879,78,1,0,4
webauthn-authentication-verify,true,6899,197,1,0,4
webauthn-begin-registration,true,3430,82,1,0,3
webauthn-finish-registration,true,5851,131,1,0,3
webauthn-login-challenge,true,3678,110,1,0,3
webauthn-login-verify,true,7111,208,1,0,3
webauthn-registration-challenge,true,3244,94,1,0,4
webauthn-registration-verify,true,5647,158,1,0,4
webauthn-router,true,1572,46,0,0,2
