rpc_name,callsite_count,callers
monitored_cleanup_old_uptime_logs,0,""
monitored_cleanup_rate_limits,0,""
monitored_cleanup_server_events,0,""
monitored_http_dispatch,0,""
monitored_integration_health_cron,0,""
monitored_prayer_push_cron,0,""
monitored_prune_completed_jobs,0,""
monitored_prune_cron_logs,0,""
monitored_prune_integration_health_log,0,""
notify_concierge_order,0,""
notify_cron_failure,0,""
notify_delivery_status_change,0,""
notify_event,0,""
notify_inventory_completed,0,""
notify_listing_event,0,""
notify_low_stock,0,""
notify_marketplace_booking,0,""
notify_payment_received,0,""
notify_real_estate_lead,0,""
notify_review_request,0,""
notify_search_sync,0,""
notify_storefront_order,0,""
notify_storefront_return,0,""
on_lease_fully_signed,0,""
purchase_boost,0,""
purge_expired_sessions,0,""
purge_old_login_events,0,""
push_on_booking_status_change,0,""
push_on_message_received,0,""
push_on_order_status_change,0,""
push_on_service_degraded,0,""
push_on_wallet_transaction,0,""
qr_confirm_security_action,0,""
queue_search_sync,0,""
rebuild_product_search_index,0,""
reconcile_cron_responses,0,""
reconcile_prayer_push_responses,0,""
record_anomaly_window,1,"supabase/functions/runtime-control-plane/index.ts:205"
record_circuit_breaker_failure,1,"supabase/functions/sentinel-server-guards/index.ts:676"
record_circuit_breaker_success,2,"supabase/functions/command-center-api/index.ts:331|supabase/functions/sentinel-server-guards/index.ts:612"
record_db_observability,5,"supabase/functions/dlq-processor/index.ts:256|supabase/functions/job-queue-worker/index.ts:329|supabase/functions/job-queue-worker/index.ts:494|supabase/functions/job-queue-worker/index.ts:584|supabase/functions/runtime-control-plane/index.ts:243"
record_state_machine_checkpoint,0,""
reserve_hotel_dates,0,""
resolve_short_link,0,""
ride_complete,0,""
ride_confirm_pickup,0,""
ride_mark_arrived,0,""
role_level,0,""
search_available_rooms,0,""
search_categories_fts,0,""
search_global_products_v2,0,""
search_nearby_items,0,""
search_nearby_shops,0,""
search_products_fts,0,""
search_profiles_fts,0,""
search_properties_fts,0,""
search_services_fts,0,""
search_shops_fts,0,""
seed_products_search_vector_update,0,""
semantic_search,0,""
set_agent_tasks_updated_at,0,""
set_domain_degradation,1,"supabase/functions/runtime-control-plane/index.ts:267"
set_listing_expiry,0,""
set_unified_wallet_tx_updated_at,0,""
set_updated_at,0,""
set_wallet_balances_v2_updated_at,0,""
sign_envelope_party,0,""
storefront_search_vector_update,0,""
suggest_onboarding_template,0,""
toggle_kill_switch_server,1,"supabase/functions/runtime-control-plane/index.ts:256"
transfer_locs,1,"supabase/functions/orbit-payment/index.ts:249"
trg_abandoned_cart_detect,0,""
trg_auction_bid_update,0,""
trg_auto_confirm_paid_order,0,""
trg_auto_invoice_on_complete,0,""
trg_auto_notify_order,0,""
trg_auto_process_return,0,""
trg_award_loyalty_points,0,""
trg_bnpl_plans_insert,0,""
trg_bnpl_plans_update,0,""
trg_crm_detect_inactive,0,""
trg_crm_inactive_reactivation,0,""
trg_crm_upsert_on_order,0,""
trg_loyalty_alert_notification,0,""
trg_notify_new_return,0,""
trg_notify_on_review,0,""
trg_recompute_trust_on_order,0,""
trg_recompute_trust_on_review,0,""
trg_rent_call_paid_handler,0,""
trg_reorder_suggestion,0,""
trg_risk_check_order,0,""
trg_signature_envelopes_insert,0,""
trg_signature_envelopes_update,0,""
trg_storefront_loyalty_on_complete,0,""
trg_storefront_stock_on_order,0,""
trg_track_growth_metrics,0,""
trg_validate_marketplace_listing,0,""
trg_vendor_commission_on_complete,0,""
try_claim_dispatch_lock,0,""
update_agent_heartbeat,2,"supabase/functions/omega-server-loop/index.ts:85|supabase/functions/sentinel-server-guards/index.ts:547"
update_autonomy_status,13,"supabase/functions/alert-dispatcher/index.ts:133|supabase/functions/alert-dispatcher/index.ts:260|supabase/functions/autonomous-cron-dispatcher/index.ts:209|supabase/functions/backup-storage/index.ts:137|supabase/functions/cache-manager/index.ts:257|supabase/functions/dlq-processor/index.ts:248|supabase/functions/job-queue-worker/index.ts:569|supabase/functions/notification-dispatcher/index.ts:372|supabase/functions/send-push-notification/index.ts:225|supabase/functions/send-sms/index.ts:125|supabase/functions/sentinel-server/index.ts:183|supabase/functions/watchdog-ping/index.ts:252|supabase/functions/watchdog-ping/index.ts:299"
update_catalog_searchable_text,0,""
update_listing_freshness_scores,1,"supabase/functions/expire-listings/index.ts:125"
update_listing_search_vector,0,""
update_loyalty_tier,0,""
update_provider_review_stats,0,""
update_social_comments_count,0,""
update_social_likes_count,0,""
update_updated_at,0,""
update_wallet_balance,0,""
upsert_dashboard_card,1,"supabase/functions/runtime-control-plane/index.ts:228"
upsert_media_asset,0,""
validate_review_rating,0,""
validate_tenant_invitation,0,""
wallet_authorize,0,""
wallet_reverse,0,""
wallet_settle,0,""
wallet_transfer,0,""
